artist,genre,score,author
Bully,Rock,7.2,Sasha Geffen
The Front Bottoms,Rock,5.8,Ian Cohen
Exhumed,Metal,6.9,Saby Reyes-Kulkarni
Jessie Ware,Pop/R&B,8.0,Brad Nelson
John Carpenter,Experimental,8.0,Calum Marsh
William Eggleston,Experimental,6.4,Kyle Chayka
Makthaverskan,Rock,7.6,Quinn Moreland
A. Savage,Rock,7.2,Stuart Berman
The Smiths,Rock,10.0,Simon Reynolds
Wu-Tang,,4.5,Sheldon Pearce
Juju & Jordash,Electronic,7.5,Philip Sherburne
Christian Scott aTunde Adjuah,Jazz,7.6,Seth Colter Walls
Nazoranai,Experimental,7.9,Grayson Haver Currin
Destroyer,Rock,7.9,Amanda Petrusich
Circuit Des Yeux,Rock,8.2,Sam Sodomsky
The Jam,Rock,8.5,Stephen Thomas Erlewine
G Herbo,Rap,7.8,David Drake
Gucci Mane,Rap,7.4,Evan Rytlewski
Tegan and Sara,Rock,6.5,Laura Snapes
D.K. / S.K.,Electronic,6.7,Andy Beta
Citizen,Rock,6.5,Ian Cohen
dvsn,Pop/R&B,7.6,Marcus J. Moore
Giggs,Rap,7.5,Ben Cardew
Byron Westbrook,Experimental,7.7,Marc Masters
YoungBoy Never Broke Again,Rap,7.4,Jay Balfour
Beck,Rock,6.3,Jillian Mapes
Stars,"Electronic,Rock",7.2,Brian Howe
Abra,Pop/R&B,6.6,Vanessa  Okoth-Obbo
TOKiMONSTA,Electronic,6.8,Thea Ballard
St. Vincent,Rock,7.6,Katherine St. Asaph
Trippie Redd,Rap,6.4,Sheldon Pearce
King Khan,Rock,6.4,Stephen M. Deusner
Sun Ra and His Arkestra,Jazz,8.5,Andy Beta
"Brian Eno, John Cale","Experimental,Rock",8.7,Chris O’Leary
Cults,Rock,6.6,Olivia Horn 
Levon Vincent,Electronic,7.7,Kevin Lozano
Richard Horowitz,Experimental,7.8,Andy Beta
NHK yx koyxen,Electronic,7.4,Philip Sherburne
King Krule,Rock,9.0,Jayson Greene
Weaves,Rock,7.2,Nina Corcoran
Fatima Al Qadiri,Electronic,7.6,Ben Cardew
Melkbelly,Rock,7.5,Steven Arroyo
"Courtney Barnett, Kurt Vile",Rock,7.6,Stuart Berman
The Darkness,"Metal,Rock",4.8,Ian Cohen
Blue Hawaii,Electronic,7.2,Kevin Lozano
Lil Pump,Rap,6.9,Evan Rytlewski
Wolf Parade,Rock,6.7,Ian Cohen
Torres,Rock,8.0,Philip Sherburne
Marilyn Manson,Metal,5.9,Sasha Geffen
Smokepurpp,Rap,6.2,David Drake
"Tom Petty, The Heartbreakers",Rock,9.2,Eric Harvey
Tom Petty,Rock,8.1,Maura Johnston
"Tom Petty, The Heartbreakers",Rock,7.0,Steve Kandell
Tom Petty,Rock,8.8,Sam Sodomsky
The Replacements,Rock,8.7,Stuart Berman
The Weather Station,Folk/Country,8.0,Sam Sodomsky
Kele Okereke,Rock,6.5,Stacey Anderson
Alex Lahey,Rock,7.6,Marc Hogan
Special Request,Electronic,6.4,Patric Fallon
Wyclef Jean,Rap,8.0,Naomi Zeichner
Common,Rap,8.4,Hanif Abdurraqib
Standing on the Corner,Experimental,8.0,Sheldon Pearce
Cécile McLorin Salvant,Jazz,7.6,Shannon J. Effinger
Ziúr,Electronic,7.1,Thea Ballard
Kelela,Pop/R&B,8.6,Julianne Escobedo Shepherd
Kaitlyn Aurelia Smith,Experimental,8.1,Sasha Geffen
Deradoorian,Experimental,7.4,Philip Sherburne
Liam Gallagher,Rock,4.9,Laura Snapes
A Boogie Wit Da Hoodie,Rap,7.0,Kristin Corry
Jhené Aiko,Pop/R&B,6.7,Briana Younger
Omni,Rock,7.2,Marc Masters
Ibeyi,Global,8.3,Stacey Anderson
Demi Lovato,Pop/R&B,7.2,Jamieson Cox
Iglooghost,Electronic,7.3,Jay Balfour
Jon Hassell,Experimental,8.4,Andy Beta
Four Tet,Electronic,8.0,Andy Beta
Chelsea Wolfe,Rock,7.2,Saby Reyes-Kulkarni
Galcher Lustwerk,Electronic,7.6,Philip Sherburne
Acephalix,Metal,7.4,Andy O'Connor
The World Is a Beautiful Place & I Am No Longer Afraid to Die,Rock,8.0,Ian Cohen
Wolf Alice,Rock,7.0,Jazz Monroe
Protomartyr,Rock,6.9,Paul Thompson
Florist,Folk/Country,7.7,Mehan Jayasuriya
Klein,Experimental,7.6,Ben Cardew
Shania Twain,Folk/Country,6.6,Jamieson Cox
Lone,Electronic,7.6,Ben Cardew
God Mother,Metal,6.4,Zoe Camp
"Valee, ChaseTheMoney",Rap,7.3,David Drake
Miley Cyrus,Pop/R&B,4.7,Claire Lobenfeld
Ben Frost,"Electronic,Experimental",7.8,Patric Fallon
Amadou & Mariam,Global,7.7,Andy Beta
Knox Fortune,Pop/R&B,7.1,Jay Balfour
Kamasi Washington,Jazz,8.5,Mark Richardson
Kevin Gates,Rap,7.5,Sheldon Pearce
L’Rain,Experimental,6.8,Jay Balfour
Chain and the Gang,Rock,7.7,Marc Masters
Moses Sumney,Pop/R&B,8.6,Jason King
The Horrors,Rock,7.1,Chal Ravens
Van Morrison,Rock,6.4,Brad Nelson
Wand,Rock,7.9,Grayson Haver Currin
Macklemore,Rap,5.4,Jonah Bromwich
"Young Thug, Carnage","Rap,Electronic",7.2,Sheldon Pearce
Wolves in the Throne Room,Metal,5.2,Andy O'Connor
Laraaji,Experimental,7.3,Marcus J. Moore
Mastodon,Metal,7.0,Zoe Camp
Midland,Electronic,8.0,Philip Sherburne
DJ Python ,Electronic,7.6,Andy Beta
Isaac Hayes,Pop/R&B,8.6,Stephen M. Deusner
Shannon Lay ,Folk/Country,7.8,Philip Sherburne
Elastica,Rock,8.5,Judy Berman
The Rolling Stones,Rock,7.8,Stephen Thomas Erlewine
Metz,Rock,7.6,Saby Reyes-Kulkarni
Phoebe Bridgers,Folk/Country,7.0,Sam Sodomsky
Yves Tumor,Experimental,7.8,Thea Ballard
The Killers,Rock,6.3,Jayson Greene
The Clientele,Rock,6.7,Grayson Haver Currin
Linda Perhacs,Folk/Country,7.0,Brad Shoup
Acetone,Rock,8.0,Stuart Berman
Godspeed You! Black Emperor,"Rock,Experimental",7.3,Sean T. Collins
Hiss Golden Messenger,Folk/Country,7.9,Stephen M. Deusner
The Blow,Pop/R&B,5.8,Brian Howe
Koran Streets,Rap,7.8,David Drake
Cut Copy,Rock,6.3,Chal Ravens
Tricky,Electronic,5.1,Ben Cardew
Chad VanGaalen,Rock,7.4,Marc Hogan
Lee Ranaldo,"Experimental,Rock",6.5,Paul Thompson
Prophets of Rage,Rock,4.6,Evan Rytlewski
Open Mike Eagle,Rap,8.1,Matthew  Ismael Ruiz
Corbin,Pop/R&B,6.8,Pat Levy
Hope Sandoval & the Warm Inventions,Rock,6.9,Olivia Horn 
Foo Fighters,Rock,6.5,Jayson Greene
Buy Muy Drugs,Rap,6.8,Marcus J. Moore
Marius,Electronic,7.1,Philip Sherburne
Nosaj Thing,Electronic,6.4,Nina Corcoran
Deftones,"Metal,Rock",8.4,Ian Cohen
Rostam,Pop/R&B,7.2,Ryan Dombal
The Necessaries,Experimental,8.3,Thea Ballard
Geinoh Yamashirogumi,Experimental,8.4,Kevin Lozano
Roscoe Mitchell,Jazz,7.8,Seth Colter Walls
Galantis,Electronic,6.4,Brad Shoup
Ariel Pink,Rock,8.2,Sam Sodomsky
Angelo Badalamenti,Experimental,8.0,Meaghan Garvey
Michael McDonald,Rock,5.8,Eric Harvey
Shenandoah Davis,Pop/R&B,7.6,Cameron Cook
Hundred Waters,Electronic,7.5,Jamieson Cox
Deer Tick,Rock,6.6,Saby Reyes-Kulkarni
BIG|BRAVE,Metal,7.6,Louis Pattison
Tony Humphries,Electronic,7.3,Ben Cardew
Tori Amos,Rock,7.5,Maura Johnston
Lunice,Electronic,5.7,Kevin Lozano
Greg Fox,Experimental,7.7,Matthew Schnipper
Sparks,"Electronic,Experimental,Rock",7.1,Chris Randle
Neil Young,Rock,8.4,Sam Sodomsky
Princess Nokia,Rap,6.2,Claire Lobenfeld
Odesza,Electronic,5.8,Philip Sherburne
Partner,Rock,7.5,Stuart Berman
Mount Kimbie,Electronic,8.4,Andy Beta
Ted Leo,Rock,7.7,Stuart Berman
Death From Above,Rock,7.3,Saby Reyes-Kulkarni
Lomelda,Rock,8.0,Sasha Geffen
Pierre Kwenders,Pop/R&B,7.9,Jonathan Zwickel
King Crimson,Rock,9.0,Sam Sodomsky
The Dream Syndicate,Rock,6.9,David Chiu
Alex Cameron,Rock,7.8,Stuart Berman
The Waterboys,Rock,6.3,Stephen Thomas Erlewine
The National,Rock,8.0,Jayson Greene
Fifth Harmony,Pop/R&B,5.3,Cameron Cook
Deerhoof,Experimental,7.7,Seth Colter Walls
Maximum Joy,Rock,8.4,Philip Sherburne
Alvvays,Rock,7.3,Marc Hogan
The Pains of Being Pure at Heart,Rock,6.8,Paul Thompson
Kedr Livanskiy,Electronic,7.4,Jesse Weiss
D33J,Electronic,6.8,Jay Balfour
Zola Jesus,Electronic,8.3,Sasha Geffen
BROCKHAMPTON,Rap,7.2,Matthew Strauss
David Rawlings,Folk/Country,8.0,Stephen M. Deusner
Tony Allen,Global,7.7,Ben Cardew
Mogwai,Rock,7.6,John S.W. MacDonald
Hercules and Love Affair,Electronic,7.7,Cameron Cook
Superchunk,Rock,8.3,Brian Howe
Harry Nilsson,Rock,8.0,Jayson Greene
Nelly,Rap,8.1,Paul A. Thompson
The Verve,Rock,8.6,Stuart Berman
A Giant Dog,Rock,7.4,Nina Corcoran
Martin Glass,Experimental,6.4,Andy Beta
Greet Death,Rock,7.7,Ian Cohen
LCD Soundsystem,"Electronic,Rock",8.5,Ryan Dombal
Deem Spencer,Rap,6.5,Jay Balfour
Nadine Shah,Rock,7.6,Laura Snapes
Tera Melos,Rock,7.4,Saby Reyes-Kulkarni
XXXTentacion,Rap,6.5,Meaghan Garvey
A$AP Mob,Rap,6.0,Mehan Jayasuriya
"King Gizzard & The Lizard Wizard, Mild High Club",Rock,7.5,Saby Reyes-Kulkarni
Liza Minnelli,Pop/R&B,7.4,Alfred Soto
Lil Uzi Vert,Rap,7.7,Paul A. Thompson
Wiki,Rap,8.1,Quinn Moreland
Hype Williams,Electronic,6.4,Kevin Lozano
Bicep,Electronic,7.4,Jesse Weiss
Action Bronson,Rap,7.4,Jay Balfour
Kodak Black,Rap,6.0,Sheldon Pearce
Alex Chilton,Rock,6.7,Stephen M. Deusner
Queens of the Stone Age,Rock,6.9,Zoe Camp
Liars,Rock,7.5,Patric Fallon
Dave East,Rap,7.0,Kristin Corry
Underworld,Electronic,7.4,Philip Sherburne
Joe Bataan,Global,8.2,Oliver Wang
D’Angelo,Pop/R&B,9.2,Marcus J. Moore
Filthy Friends,Rock,6.5,Alfred Soto
Daniel Caesar,Pop/R&B,7.3,Briana Younger
B12,Electronic,7.7,Ben Cardew
The War on Drugs,Rock,8.7,Mark Richardson
EMA,Rock,8.0,Judy Berman
Turnover,Rock,7.3,Ian Cohen
Joseph Shabason,Jazz,7.6,Philip Sherburne
Lil B,Rap,8.5,Meaghan Garvey
Iron & Wine,Folk/Country,7.5,Philip Cosores
Sannhet,Metal,8.0,Andy O'Connor
Vijay Iyer Sextet,Jazz,7.7,Seth Colter Walls
Brand New,Rock,8.3,Ian Cohen
Rainer Maria,Rock,7.6,Evan Rytlewski
Oh Sees,Rock,7.4,Stuart Berman
Maya Jane Coles,Electronic,6.0,Philip Sherburne
Alice Glass,Electronic,6.8,Sasha Geffen
Khalil,Pop/R&B,7.2,Louis Pattison
TOBACCO,Electronic,7.7,Saby Reyes-Kulkarni
A$AP Ferg,Rap,6.1,Matthew  Ismael Ruiz
Cloakroom,Rock,7.3,Andy O'Connor
Mozzy,Rap,7.6,Briana Younger
Tears for Fears,Rock,8.9,Tal Rosenberg
Link Wray,Rock,9.1,Andy Beta
Samantha Urbani,Pop/R&B,7.2,Claire Lobenfeld
Blondes,Electronic,7.3,Thea Ballard
Trailer Trash Tracys,Experimental,6.0,Kevin Lozano
Grizzly Bear,Rock,7.3,Jillian Mapes
Everything Everything,Rock,7.1,Jazz Monroe
Dent May,Rock,6.1,Calum Marsh
inc. no world,Pop/R&B,6.5,Cameron Cook
Lil Peep,Rap,7.3,Sheldon Pearce
The Cars,Rock,8.5,Stephen Thomas Erlewine
Myke Bogan,Rap,6.7,Mehan Jayasuriya
BOSCO,Pop/R&B,7.4,Karas Lamb
Madonna,Pop/R&B,8.2,Jillian Mapes
Madonna,Pop/R&B,9.0,Maura Johnston
Madonna,Pop/R&B,6.5,Owen Pallett
Madonna,Pop/R&B,8.1,Alex Frank
YoungBoy Never Broke Again,Rap,7.6,Sheldon Pearce
Dean Hurley,Experimental,6.5,Sean T. Collins
Tyshawn Sorey,Jazz,7.6,Seth Colter Walls
Tall Friend,Rock,6.8,Evan Rytlewski
Oneohtrix Point Never,Experimental,7.7,Sasha Geffen
Aesop Rock,Rap,7.3,Jay Balfour
Amy O,Rock,6.7,Vrinda Jagota
House of Feelings,Electronic,6.9,Calum Marsh
Fiona Apple,Rock,9.0,Jenn Pelly
A$AP Twelvyy,Rap,6.4,Jonah Bromwich
The Yawpers,Rock,7.1,Stephen M. Deusner
Dale Crover,"Rock,Metal",7.0,Brian Burlage
The Districts,Rock,6.7,Philip Cosores
Kesha,Pop/R&B,6.8,Katherine St. Asaph
Guided by Voices,Rock,7.4,Stuart Berman
Lal & Mike Waterson,Folk/Country,8.5,Grayson Haver Currin
Photay ,Electronic,7.9,Philip Sherburne
Frankie Rose,Rock,7.7,Philip Sherburne
Nadia Sirota,Experimental,7.2,Jayson Greene
Katie Von Schleicher,Rock,7.1,Paul Thompson
milo,Rap,7.5,Mehan Jayasuriya
Downtown Boys,Rock,7.5,Philip Sherburne
Naomi Punk,Rock,5.6,Evan Rytlewski
Stas THEE Boss,Rap,6.7,Karas Lamb
Ty Segall,Rock,7.1,Nina Corcoran
Flash Trading,Electronic,7.0,Kevin Lozano
Wifisfuneral,Rap,6.0,Sheldon Pearce
Moon King,Pop/R&B,5.4,Sasha Geffen
Randy Newman,Rock,8.0,Mike Powell
Konx-om-Pax,Electronic,7.3,Ben Cardew
Caroline Says,Folk/Country,7.2,Philip Cosores
Manchester Orchestra,Rock,7.0,Ian Cohen
Sparklehorse,Rock,9.1,Sasha Geffen
BADBADNOTGOOD,Jazz,7.6,Sheldon Pearce
Dead Cross,Rock,6.2,Saby Reyes-Kulkarni
Soccer Mommy,Rock,6.7,Evan Rytlewski
Sote,Electronic,7.8,Philip Sherburne
Ben Frost,"Electronic,Experimental",6.8,Daniel Martin-McCormick
Julia Michaels,Pop/R&B,6.6,Katherine St. Asaph
Briana Marela,Rock,6.9,Sasha Geffen
Joywave,Rock,5.9,Saby Reyes-Kulkarni
Brian Eno,Experimental,9.5,Douglas Wolk
People Like You,Rock,7.2,Ian Cohen
Couch Slut,Metal,7.7,Saby Reyes-Kulkarni
Tchornobog,Metal,7.4,Sam Sodomsky
Romeo Santos,Pop/R&B,7.6,Matthew  Ismael Ruiz
"Nav, Metro Boomin",Rap,4.8,Jay Balfour
"Joe Henderson, Alice Coltrane",Jazz,8.6,Mark Richardson
Mhysa,Electronic,7.8,Rachel Hahn
Aminé,Rap,7.3,Briana Younger
WizKid,Global,7.4,Claire Lobenfeld
Declan McKenna,Rock,5.9,Marc Hogan
Vic Mensa,Rap,6.9,Jay Balfour
Ross From Friends,Electronic,6.6,Kevin Lozano
Pan Daijing,Experimental,7.6,Thea Ballard
Denitia,Pop/R&B,7.2,Briana Younger
Silver Jews,Rock,9.4,Mike Powell
The Fall,Rock,6.8,Robert Ham
Sontag Shogun,Experimental,7.3,Raymond Cummings
Sudan Archives,Pop/R&B,7.3,Karas Lamb
DJ Bone,Electronic,7.6,Daniel Martin-McCormick
Arcade Fire,Rock,5.6,Jeremy D. Larson
Suicideyear,Electronic,7.3,Chal Ravens
"Jeremy Greenspan, Taraval",Electronic,6.9,Thea Ballard
Golden Retriever,Experimental,8.0,Patric Fallon
Meek Mill,Rap,7.4,Sheldon Pearce
Snail Mail,Rock,7.7,Quinn Moreland
Pickwick,Rock,6.6,Saby Reyes-Kulkarni
Lory D,Electronic,7.5,Jesse Weiss
Nine Inch Nails,Rock,7.3,Sean T. Collins
Gal Costa,Pop/R&B,8.5,Andy Beta
This Is the Kit,Folk/Country,7.3,Sam Sodomsky
Quindar,Experimental,6.8,Saby Reyes-Kulkarni
Lana Del Rey,Pop/R&B,7.7,Meaghan Garvey
Avey Tare,Experimental,7.6,Evan Rytlewski
Bedouine,Folk/Country,7.5,Sam Sodomsky
Jana Rush,Electronic,7.9,Kevin Lozano
Foster the People,"Electronic,Rock",5.5,Brad Shoup
Daphni,Electronic,7.6,Andy Beta
The Beacon Sound Choir,,7.7,Philip Sherburne
Us and Us Only,,6.7,Ian Cohen
Stereolab,Experimental,9.2,Eric Harvey
Ramones,Rock,9.5,Stephen Thomas Erlewine
Psychic TV,Experimental,6.7,Stuart Berman
Lo Tom,Rock,6.2,Ian Cohen
"Bjørn Torske, Prins Thomas",Electronic,7.3,Andy Beta
"Tyler, the Creator",Rap,8.5,Sheldon Pearce
Dizzee Rascal,Rap,7.0,Ben Cardew
Burnt Friedman,Electronic,7.8,Philip Sherburne
Patricia,Electronic,6.9,Patric Fallon
Cornelius,Electronic,7.7,Jesse Jarnow
Terrace Martin Presents the Pollyseeds,Pop/R&B,7.6,Seth Colter Walls
Cousin Stizz,Rap,6.9,Mehan Jayasuriya
Holy Shit,Rock,7.2,Thea Ballard
French Montana,Rap,6.5,Sheldon Pearce
SQÜRL,Experimental,6.8,Marc Masters
Jean​-​Jacques Perrey,Electronic,7.6,Ben Cardew
Art Feynman,,7.0,Will Schube
Japanese Breakfast,Rock,8.0,Nathan Reese
Mura Masa,Electronic,7.7,Eve Barlow
Coca Leaf,Experimental,7.1,Paul Thompson
Claude Speeed,Electronic,7.4,Philip Sherburne
Coldplay,Rock,5.8,Jamieson Cox
Dasher,Rock,7.8,Stuart Berman
Mr Jukes,Pop/R&B,5.8,Ian Cohen
Mike Cooper,Experimental,6.8,Andy Beta
SW.,Experimental,8.0,Philip Sherburne
Guns N' Roses,Rock,10.0,Maura Johnston
Shabazz Palaces,Rap,7.6,Matthew  Ismael Ruiz
Sheer Mag,Rock,8.0,Stuart Berman
Yoko Ono,Experimental,8.7,Marc Masters
Integrity,Metal,7.7,Zoe Camp
Waxahatchee,Rock,8.2,Sam Sodomsky
Moon Diagrams,Rock,7.0,Calum Marsh
DJ Shadow,Electronic,6.5,Nate Patrin
Boris,"Metal,Rock",7.3,Saby Reyes-Kulkarni
21 Savage,Rap,6.5,Sheldon Pearce
Public Enemy,Rap,6.0,Jay Balfour
Ex Eye,Experimental,8.1,Grayson Haver Currin
Great Grandpa,Rock,6.7,Ian Cohen
Toro y Moi,Electronic,6.9,Ian Cohen
Chronixx,Global,7.6,Erin MacLeod
Nídia,Electronic,7.8,Philip Sherburne
Roscoe Mitchell,Jazz,7.3,Daniel Martin-McCormick
Broken Social Scene,Rock,8.4,Ian Cohen
Kacy Hill,Pop/R&B,5.1,Claire Lobenfeld
Brightness,Rock,7.4,Shaad D’Souza
Heaven in Her Arms,Metal,7.7,Andy O'Connor
Sau Poler,Electronic,7.8,Ben Cardew
Metallica,Metal,7.7,Zoe Camp
DJ Khaled,Rap,5.2,Rebecca  Haithcoat
Porter Ricks,Electronic,8.0,Andrew Gaerig
Pep Llopis,Experimental,7.6,Philip Sherburne
Conway,Rap,6.8,Ian Cohen
Haim,Rock,7.8,Jenn Pelly
Calvin Harris,Electronic,6.7,Eve Barlow
Baio,Electronic,5.6,Philip Cosores
Portugal. The Man,Rock,6.6,Evan Rytlewski
Beach House,Rock,6.9,Sasha Geffen
TLC,Pop/R&B,7.4,Julianne Escobedo Shepherd
James Elkington,Folk/Country,7.8,Jesse Jarnow
Steffi,Electronic,7.7,Philip Sherburne
JAY-Z,Rap,8.4,Sheldon Pearce
Clams Casino,Rap,7.4,Jonah Bromwich
Lapalux,Electronic,7.2,Saby Reyes-Kulkarni
Guerilla Toss,Rock,7.5,Jesse Jarnow
Marvin Gaye,Pop/R&B,8.7,Ryan Dombal
The Beach Boys,Rock,8.1,Jesse Jarnow
Algiers,Rock,5.8,Sheldon Pearce
Bill Orcutt,Experimental,7.6,Colin Joyce
White Suns,,7.4,Raymond Cummings
MIKE,Rap,8.3,Matthew Strauss
Nicholas Britell,Jazz,7.7,Calum Marsh
Ennanga Vision,Electronic,7.2,Andy Beta
Turtlenecked,Rock,6.0,Ian Cohen
Washed Out,Electronic,6.7,Ian Cohen
King Gizzard & The Lizard Wizard,Rock,8.0,Stuart Berman
David Bowie,Rock,8.0,Chris Randle
MC Eiht,Rap,7.1,Marcus Moore
Laurel Halo,Electronic,8.2,Chal Ravens
Floating Points,Electronic,7.3,Andy Beta
Colter Wall,Folk/Country,8.0,Sam Sodomsky
Cybe,Global,7.8,Matthew Schnipper
Jeff Tweedy,Rock,6.6,Philip Cosores
The Monks,Rock,6.9,Jesse Jarnow
Rozwell Kid,Rock,7.4,Ian Cohen
Jefre Cantu-Ledesma,Experimental,7.7,Sasha Geffen
"Prince, The Revolution","Pop/R&B,Rock",10.0,Brad Nelson
Beth Ditto,Rock,6.1,Laura Snapes
Karen Gwyer,Electronic,7.4,Chal Ravens
Suffocation,Metal,7.0,Saby Reyes-Kulkarni
Impetuous Ritual,,7.9,Andy O'Connor
ZZ Top,Rock,9.0,Andy Beta
Com Truise,Electronic,6.7,Saby Reyes-Kulkarni
"Keith Rowe, Michael Pisaro",Experimental,7.5,Marc Masters
BROCKHAMPTON,Rap,6.5,Matthew Strauss
"Amir ElSaffar, Rivers of Sound","Jazz,Global",7.9,Seth Colter Walls
Vince Staples,Rap,8.7,Sheldon Pearce
Palehound,Rock,7.3,Jillian Mapes
H.E.R.,Pop/R&B,7.8,Briana Younger
Showtime Goma,Rock,6.9,Cameron Cook
Radiohead,Rock,10.0,Jayson Greene
Steve Earle & the Dukes,Folk/Country,7.7,Sam Sodomsky
Fhloston Paradigm,Electronic,7.5,Karas Lamb
Palm,Rock,7.6,Matt Grosinger
Kevin Morby,Rock,8.1,Laura Snapes
The Drums,Pop/R&B,7.4,Erin Vanderhoof
Larkin Grimm,Folk/Country,7.1,Sasha Geffen
Scott Gilmore,Experimental,7.2,Philip Sherburne
Young Thug,Rap,8.0,Paul A. Thompson
Peaking Lights,Electronic,7.6,Marc Masters
Hudson,Jazz,7.5,Seth Colter Walls
Camille,Pop/R&B,7.6,Laura Snapes
Big Boi,Rap,7.4,Jayson Greene
Ride,Rock,6.3,Ben Cardew
Benjamin Booker,Rock,8.1,H. Drew Blackburn
House and Land,Folk/Country,7.8,Sam Sodomsky
Destiny’s Child,Pop/R&B,9.0,Katherine St. Asaph
Can,Experimental,6.4,Andy Beta
Jason Isbell and the 400 Unit,Folk/Country,6.3,Sam Sodomsky
Glen Campbell,Folk/Country,5.7,Stephen Thomas Erlewine
UMFANG,Electronic,7.8,Philip Sherburne
Lorde,Pop/R&B,8.8,Stacey Anderson
2 Chainz,Rap,8.0,Paul A. Thompson
Lynn Castle,"Experimental,Folk/Country",7.5,Rebecca Bengal
Rancid,Rock,7.3,Zoe Camp
Fleet Foxes,Folk/Country,8.7,Ian Cohen
Chief Keef,Rap,8.0,Sheldon Pearce
DJ Sports,Electronic,7.8,Philip Sherburne
Katy Perry,Pop/R&B,4.8,Jillian Mapes
Amber Coffman,Pop/R&B,7.8,Sasha Geffen
TOPS,Pop/R&B,7.4,Kevin Lozano
Joni Void,"Experimental,Jazz",7.7,Stuart Berman
SZA,Pop/R&B,8.4,Claire Lobenfeld
"Sufjan Stevens, Nico Muhly, Bryce Dessner, James McAlister","Folk/Country,Electronic,Experimental",6.0,Thea Ballard
Richard Dawson,,8.0,Sam Sodomsky
Chuck Berry,Rock,6.3,Evan Minsker
SahBabii,Rap,6.6,Sheldon Pearce
"Lindsey Buckingham, Christine McVie","Rock,Folk/Country",6.2,Sean T. Collins
Pixx,Pop/R&B,6.5,Calum Marsh
Murlo,Electronic,5.9,Kevin Lozano
Norska,Rock,7.2,Andy O'Connor
Salt-N-Pepa,Rap,8.5,Claire Lobenfeld
Royal Trux,Rock,7.3,Stuart Berman
Saint Etienne,"Electronic,Rock",7.6,Saby Reyes-Kulkarni
Arve Henriksen,"Global,Jazz",7.6,Brian Howe
Robert Hood,Electronic,6.9,Jesse Weiss
Big Thief,Rock,8.3,Quinn Moreland
Jimi Tents,Rap,7.8,Sheldon Pearce
Smidley,Experimental,7.5,Ian Cohen
King Tubby & the Aggrovators,Global,7.4,Andy Beta
Phoenix,Rock,7.0,Marc Hogan
Perera Elsewhere,Pop/R&B,7.6,Briana Younger
Mark McGuire,"Electronic,Rock,Experimental",7.7,Sam Sodomsky
Cigarettes After Sex,Experimental,7.4,Cameron Cook
Halsey,Pop/R&B,6.5,Katherine St. Asaph
Beach Fossils,"Experimental,Rock",7.3,Philip Cosores
Major Lazer,"Global,Pop/R&B",6.4,Jonah Bromwich
alt-J,Rock,4.5,Jayson Greene
Chastity Belt,Rock,7.4,Sasha Geffen
Omar Souleyman,Global,6.5,Andy Beta
The Charlatans UK,"Electronic,Rock",6.0,Robert Ham
Gucci Mane,Rap,7.3,Paul A. Thompson
Chuck Johnson,Experimental,8.1,Marc Masters
Chain and the Gang,Rock,7.7,Stuart Berman
Pet Symmetry,Rock,6.8,Evan Rytlewski
tofubeats,Electronic,7.6,Patrick St. Michel
Ghostface Killah,Rap,10.0,Jeff Weiss
Tony Conrad,"Experimental,Rock",8.4,Grayson Haver Currin
Martin Rev,Electronic,6.0,Saby Reyes-Kulkarni
Loss,Metal,8.0,Andy O'Connor
Shinichi Atobe,Electronic,8.1,Philip Sherburne
Bleachers,Pop/R&B,6.1,Sam Sodomsky
Kettenkarussell,Electronic,8.0,Philip Sherburne
Look Blue Go Purple,Rock,8.3,Quinn Moreland
Marika Hackman,Folk/Country,7.5,Laura Snapes
Snoop Dogg,Rap,7.0,Rebecca Haithcoat
Dan Auerbach,Rock,6.7,Stuart Berman
Elysia Crampton,Experimental,7.2,Daniel Martin-McCormick
Ricardo Villalobos,Electronic,7.3,Philip Sherburne
Bryson Tiller,Pop/R&B,6.6,David Turner
Swet Shop Boys,Rap,6.9,Mehan Jayasuriya
First Hate,"Electronic,Pop/R&B",7.8,Louis Pattison
Thunder Dreamer,Rock,7.7,Ian Cohen
Danzig,Metal,6.4,Andy O'Connor
RJMrLA,Rap,7.5,Briana Younger
JJ DOOM,Rap,8.0,Nate Patrin
Obnox,Rock,7.8,Marc Masters
Patti Smith Group,Rock,8.8,Caryn Rose
Roger Waters,Rock,6.9,Saby Reyes-Kulkarni
Jaco Pastorius,"Global,Jazz",8.1,Michael J. Agovino
"Mary Lattimore, Elysse Thebner Miller",Experimental,7.8,Andy Beta
Kikagaku Moyo,Experimental,6.0,Patrick St. Michel
Lil Yachty,Rap,6.8,Sheldon Pearce
James Place,,7.4,Marc Masters
Mulatu Astatke,"Jazz,Pop/R&B,Global",8.7,Erin MacLeod
Man Forever,Experimental,7.9,Jesse Jarnow
"T-Pain, Lil Wayne",Rap,6.1,Jayson Greene
Sam Amidon,Rock,7.0,Brian Howe
Dreamcar,Rock,5.8,Zoe Camp
Everything Is Recorded,Electronic,6.7,Kevin Lozano
Wavves,Rock,6.0,Nina Corcoran
Helium,Rock,8.5,Amy Schroeder
!!!,Rock,7.3,Stuart Berman
Dr. Octagon,Rap,8.7,Nate Patrin
Nick Hakim,Rock,7.9,Sheldon Pearce
Khotin,Electronic,7.8,Philip Sherburne
"Faith Evans, The Notorious B.I.G.","Pop/R&B,Rap",4.5,Evan Rytlewski
